2,(1)
3,(2)
331,8(1),(3)
332,35(3),(1)
333,2(1),(18)
334,8(1),(7)
335,28(1),(16)
336,6(2),(10)
337,53(1),(7)
338,28(2),(1)
339,30(1),(6)
340,2(1),(2)
341,6(1),(9)
342,5(1),(18)
343,2(1),(12)
344,3(1),(16)
345,6(1),(2)
346,7(1),(1)
347,20(1),(10)
348,27(2),(2)
349,62(1),(9)
350,5(4),(8)
351,22(1),(18)
352,3(1),(2)
353,11(18),(1)
354,12(8),(4)
355,28(1),(1)
356,70(1),(2)
357,45(1),(4)
358,1(4),(8)
359,35(18),(1)
360,9(4),(5)
361,16(1),(10)
362,16(1),(6)
363,4(1),(2)
364,6(1),(12)
365,38(4),(8)
366,9(2),(2)
367,94(1),(1)
368,4(1),(3)
369,1(2),(7)
370,2(1),(7)
371,27(2),(4)
372,35(1),(3)
373,59(2),(7)
374,4(1),(7)
375,33(16),(4)
376,28(1),(2)
377,4(1),(2)
378,7(1),(18)
379,49(10),(2)
380,14(2),(10)
381,1(1),(4)
382,4(10),(1)
383,73(1),(9)
384,1(1),(16)
385,6(1),(16)
386,4(1),(7)
387,1(2),(7)
388,13(4),(1)
389,6(1),(9)
390,6(1),(16)
391,15(2),(1)
392,23(2),(2)
393,6(1),(10)
394,7(2),(2)
395,2(4),(4)
396,42(1),(14)
397,32(1),(14)
398,10(1),(9)
399,9(8),(6)
400,5(1),(7)
